bigram	frequency
none might	3
may hardly	3
just now	3
good care	3
round ulysses	3
may burn	3
also took	3
may meet	3
greater part	3
straitly saying	3
fear lest	3
shall soon	3
will first	3
penelope came	3
meanwhile achilles	3
bore away	3
will break	3
never welcome	3
solemn promise	3
whereon ulysses	3
bearded lion	3
ulysses stood	3
looked like	3
answered nestor	3
head till	3
gave every	3
may hear	3
twelve axes	3
fat thigh	3
come round	3
without letting	3
made lamentation	3
ask nestor	3
maids came	3
saturn sent	3
kills every	3
might fly	3
many cities	3
screamed aloud	3
naiad nymph	3
heaven decide	3
ere now	3
let ajax	3
actual fighting	3
troy far	3
indeed dead	3
arms around	3
ground till	3
lying dream	3
find us	3
twenty days	3
telemachus followed	3
horned cattle	3
fragrant store	3
listen therefore	3
bring wood	3
young achaeans	3
took comfort	3
will towards	3
two hands	3
take us	3
took mars	3
whose house	3
fierce war	3
excellent person	3
replied minerva	3
telemachus came	3
great deeds	3
menelaus saw	3
spear flew	3
rich plain	3
first thing	3
ever welcome	3
kill us	3
diomed looked	3
road side	3
offering hecatombs	3
escape death	3
poor ulysses	3
eurypylus son	3
now take	3
seven years	3
three days	3
another went	3
soon make	3
due funeral	3
something else	3
son sarpedon	3
gave us	3
place will	3
night falls	3
achilles like	3
great many	3
fall beneath	3
neither god	3
thereon minerva	3
three sons	3
black ewe	3
agamemnon will	3
cold water	3
ulysses saw	3
jove sends	3
still kept	3
now leave	3
fled panic	3
eurymachus son	3
two winds	3
men put	3
achaeans went	3
see menelaus	3
great saturn	3
reasonably expect	3
home safely	3
august queen	3
hand seized	3
comfortable bed	3
fight hector	3
soon rue	3
juno answered	3
ulysses might	3
way back	3
foremost man	3
stranger turned	2
strength left	2
front like	2
stay us	2
great chieftain	2
jove now	2
fame reaches	2
two alone	2
might say	2
arms round	2
will entreat	2
run full	2
known among	2
trojan forces	2
die without	2
still guarded	2
foolish enough	2
two points	2
ten generations	2
men said	2
gods gave	2
red wine	2
bring sheep	2
trench deep	2
will cut	2
pylian people	2
death came	2
polydamas killed	2
quickly forward	2
flaming chariot	2
former husband	2
men gave	2
know well	2
busy getting	2
must still	2
noble knight	2
peleus bade	2
four horses	2
wives may	2
cruel wretch	2
seven well	2
patroclus fell	2
famous sea	2
will share	2
laid many	2
joined battle	2
stood weeping	2
though many	2
thracian soldiers	2
bronze flashed	2
highest honour	2
will last	2
three rows	2
trojans dared	2
city will	2
dolops son	2
must give	2
stay longer	2
poor miserable	2
fed stream	2
lie far	2
helmsman headed	2
agenor saw	2
say much	2
every pore	2
fifty men	2
came together	2
gave great	2
river iardanus	2
fetch water	2
insolence reach	2
full array	2
never came	2
ran round	2
twelve rugs	2
forest glades	2
given us	2
last thing	2
either unloose	2
apollo turned	2
wall round	2
must come	2
hector say	2
little man	2
set refreshment	2
merry twinkling	2
another prize	2
dangerous people	2
disposed ruler	2
achaeans arm	2
trojans also	2
stone threshold	2
wore next	2
gods proceed	2
sweet corn	2
waggon ready	2
younger men	2
ruing bitterly	2
sank within	2
hector still	2
heard afar	2
pointed shaft	2
see land	2
good natural	2
old warrior	2
valorously drawn	2
strict orders	2
trojans made	2
golden girdle	2
gave orders	2
soften things	2
suitors returned	2
telemachus told	2
vast olympus	2
two fell	2
goodly steeds	2
yearling heifers	2
right buttock	2
began eating	2
now surely	2
lying story	2
spoke polydamas	2
got safe	2
told telemachus	2
two fair	2
